BEGINN_DATUM,BEGINN_UHRZEIT,ZEITZONE_VON,ENDE_DATUM,ENDE_UHRZEIT,ZEITZONE_BIS,GRUND_DER_MASSNAHME,RICHTUNG,MITTLERE_LEISTUNG_MW,MAXIMALE_LEISTUNG_MW,GESAMTE_ARBEIT_MWH,ANWEISENDER_UENB,ANFORDERNDER_UENB,BETROFFENE_ANLAGE,PRIMAERENERGIEART
04.03.2025,12:00,CET,04.03.2025,14:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,140,160,280,50Hertz,TenneT DE,50H PV Witznitz,Erneuerbar
04.03.2025,12:00,CET,04.03.2025,21:30,CET,Probestart (NetzRes),Wirkleistungseinspeisung erhöhen,"336,58",520,"3197,5",TenneT DE,TenneT DE,ReserveKW Staudinger 5,Konventionell
04.03.2025,12:45,CET,04.03.2025,14:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,48,50,60,50Hertz,TenneT DE,50H OWP Arkona,Erneuerbar
04.03.2025,13:00,CET,04.03.2025,14:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,6,6,6,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H UW Iven,Erneuerbar
04.03.2025,13:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"50,75",113,406,TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,OWP UW Dörpen-West,Erneuerbar
04.03.2025,13:30,CET,04.03.2025,19:30,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,200,250,1200,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,HAMMUENTROP_10,Konventionell
04.03.2025,14:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,210,210,2100,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,Emsland Block B,Konventionell
04.03.2025,14:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,179,210,1790,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,HERDECKE_H6,Konventionell
04.03.2025,14:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"194,8",448,1948,TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,OWP UW Dörpen-West,Erneuerbar
04.03.2025,14:00,CET,04.03.2025,20:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"283,46",479,"1700,75",TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,Wilhelmshaven (ENGIE),Konventionell
04.03.2025,17:00,CET,04.03.2025,18:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,50,50,50,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Rostock Kohlekraftwerk,Konventionell
04.03.2025,17:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,210,210,1470,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,Emsland Block C,Konventionell
04.03.2025,17:15,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,151,237,1018,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,Rostock Kohlekraftwerk,Konventionell
04.03.2025,17:30,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,324,420,2104,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,HAMMUENTROP_20,Konventionell
04.03.2025,19:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,244,250,1221,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,HAMMUENTROP_10,Konventionell
04.03.2025,20:00,CET,04.03.2025,22:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,95,98,190,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,Emsland Block C,Konventionell
04.03.2025,21:45,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,"222,67",530,501,TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,Irsching 5,Konventionell
04.03.2025,21:45,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"87,78",181,"197,5",TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,OWP UW Büttel,Erneuerbar
04.03.2025,22:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,235,286,470,TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,OWP UW Büttel,Erneuerbar
04.03.2025,22:00,CET,04.03.2025,23:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,19,19,19,TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,SW München KW-Pool,Sonstiges
04.03.2025,23:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,150,200,150,TenneT DE,TenneT DE,SHN Cluster Heide West T411 T412,Erneuerbar
04.03.2025,23:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,150,200,150,TenneT DE,TenneT DE,SHN Cluster Klixbüll,Erneuerbar
