redispatch_name,matched_name,score,source,reasoning,needs_review
AMP_LEW_VERTEILNETZ_SUED_CR_SONSTIGE_EE,Rt Ee,57.1,fuzzy,,YES
AMP_SYNA_PFUNG_CR_WIND,Wind,100.0,fuzzy,,
AMP_VSE_CR_PHOTOVOLTAIK,Photovoltaik,100.0,fuzzy,,
AMP_VSE_CR_SONSTIGE_EE,Rt Ee,57.1,fuzzy,,YES
AMP_VSE_CR_WIND,Wind,100.0,fuzzy,,
AMP_WESTNETZ_BORNHEIM_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_DORTMUND_CR_WIND,Dortmund,100.0,fuzzy,,
AMP_WESTNETZ_EIFEL_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_EMSLAND_CR_SONSTIGE_EE,Emsland,100.0,fuzzy,,
AMP_WESTNETZ_EMSLAND_CR_WIND,Emsland,100.0,fuzzy,,
AMP_WESTNETZ_HUERTH_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_KREFELDNEUSS_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_MUELHEIM_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_MUENSTERLAND_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_NAHE_CR_PHOTOVOLTAIK,Photovoltaik,100.0,fuzzy,,
AMP_WESTNETZ_NAHE_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_NIEDERRHEIN_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_NIKE_CR_KONVENTIONELL,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_NIKE_CR_PHOTOVOLTAIK,Photovoltaik,100.0,fuzzy,,
AMP_WESTNETZ_NIKE_CR_SONSTIGE_EE,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_NIKE_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_PLAIDT_CR_WIND,Plaidt,100.0,fuzzy,,
AMP_WESTNETZ_SAUERLAND_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_SIEGEN_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_SIERSDORF_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_TRIER_CR_PHOTOVOLTAIK,Photovoltaik,100.0,fuzzy,,
AMP_WESTNETZ_TRIER_CR_SONSTIGE_EE,Trier,100.0,fuzzy,,
AMP_WESTNETZ_TRIER_CR_WIND,Trier,100.0,fuzzy,,
AVA Cluster Alfstedt,Wp Alfstedt,84.2,fuzzy,,
AVA Cluster Dollern,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Elsen,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Emden Borssum,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Emden Ost,Ost,100.0,fuzzy,,
AVA Cluster Gießen Nord T413 T414,Nord,100.0,fuzzy,,
AVA Cluster Helmstedt,Helmstedt,100.0,fuzzy,,
AVA Cluster Landesbergen,Landesbergen,100.0,fuzzy,,
AVA Cluster Lehrte,Lehrte,100.0,fuzzy,,
AVA Cluster Lüneburg T412,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Lüneburg T413,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Ohlensehlen,Mgt Cluster,77.8,fuzzy,,
AVA Cluster SC Dipperz Großkrotzenburg,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Sottrum T411 T413,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Sottrum T412,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Stadorf,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Twistetal,Twistetal,100.0,fuzzy,,
AVA Cluster Voslapp,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Vörden,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Wechold,Mgt Cluster,77.8,fuzzy,,
Ahrensfelde A (KapRes),Ahrensfelde,100.0,fuzzy,,
Ahrensfelde B (KapRes),Ahrensfelde,100.0,fuzzy,,
Ahrensfelde C (KapRes),Ahrensfelde,100.0,fuzzy,,
Ahrensfelde D (KapRes),Ahrensfelde,100.0,fuzzy,,
Audorf,Gasturbinenkraftwerk Audorf,100.0,fuzzy,,
BAG NWAK-Cluster 01 Mechlenreuth,Mgt Cluster,77.8,fuzzy,,
BAG NWAK-Cluster 02 Oberhaid-Redwitz,Redwitz,100.0,fuzzy,,
BAG NWAK-Cluster 03 Bergrheinfeld-Schweinfurt,Schweinfurt,100.0,fuzzy,,
BAG NWAK-Cluster 04 Aschaffenburg,Aschaffenburg,100.0,fuzzy,,
BAG NWAK-Cluster 05 Kriegenbrunn-Ludersheim,Mgt Cluster,77.8,fuzzy,,
BAG NWAK-Cluster 06 Raitersaich,Mgt Cluster,77.8,fuzzy,,
BAG NWAK-Cluster 08 Neufinsing,Mgt Cluster,77.8,fuzzy,,
BAG NWAK-Cluster 09 Marienberg,Marienberg,100.0,fuzzy,,
BAG NWAK-Cluster 10 Oberbachern,Mgt Cluster,77.8,fuzzy,,
BAG NWAK-Cluster 12 Pirach-Simbach,Mgt Cluster,77.8,fuzzy,,
BAG NWAK-Cluster 13 Etzenricht,Mgt Cluster,77.8,fuzzy,,
BAG NWAK-Cluster 14 Schwandorf,Schwandorf,100.0,fuzzy,,
BAG NWAK-Cluster 15 Pleinting,Pleinting,100.0,fuzzy,,
BAG NWAK-Cluster 16 Regensburg-Sittling,Regensburg,100.0,fuzzy,,
BAG NWAK-Cluster 17 Altheim,Altheim,100.0,fuzzy,,
BASF-GESAMTEINSPEISG,Gerstenberg Ba,64.7,fuzzy,,YES
BATTERIESPEICHER_NEURATH,Neurath,100.0,fuzzy,,
BIBLIS_GT (bnBm),Gt,100.0,fuzzy,,
Baden-Württemberg Mitte EE,Mitte,100.0,fuzzy,,
Baden-Württemberg Nord EE,Nord,100.0,fuzzy,,
Baden-Württemberg Nord-Ost EE,Nord,100.0,fuzzy,,
Baden-Württemberg Nord-West EE,West,100.0,fuzzy,,
Baden-Württemberg Süd EE,Baden,100.0,fuzzy,,
Baden-Württemberg Süd-Ost EE,Baden,100.0,fuzzy,,
Baden-Württemberg West EE,West,100.0,fuzzy,,
Boxberg (Standort),Boxberg,100.0,fuzzy,,
Braunschweig BHKW,Bhkw Braunschweig,100.0,fuzzy,,
Braunschweig DT,Dt,100.0,fuzzy,,
Braunschweig GT,Gt,100.0,fuzzy,,
Braunschweig HKWM DT42,Braunschweig,100.0,fuzzy,,
Braunschweig HKWM GT31,Braunschweig,100.0,fuzzy,,
Braunschweig HKWN GT,Gt,100.0,fuzzy,,
Bremen GKB,Bremen,100.0,fuzzy,,
Burghausen,Burghausen,100.0,fuzzy,,
Börse,Bre,75.0,fuzzy,,
CHEMIEPARK_MARL_KRAFTWERKE,Chemiepark Marl,100.0,fuzzy,,
CROC Cluster Görries,Mgt Cluster,77.8,fuzzy,,
CROC Cluster Güstrow,Mgt Cluster,77.8,fuzzy,,
CROC Cluster Parchim Süd,Parchim,100.0,fuzzy,,
Datteln_4,Datteln,100.0,fuzzy,,
EE Bayern,Bayern,100.0,fuzzy,,
EE Hessen,Hessen,100.0,fuzzy,,
EE Niedersachsen,Tennisverband Niedersachsen Bremen Ausbildungszentrum,89.7,fuzzy,,
EGM_DTS,Dts,100.0,fuzzy,,
Eltmann,Eltmann,100.0,fuzzy,,
Emden 4 GT (KapRes),Gt,100.0,fuzzy,,
Emsland Block B,Emsland,100.0,fuzzy,,
Emsland Block C,Emsland,100.0,fuzzy,,
Emsland Block D,Emsland,100.0,fuzzy,,
Erzhausen 1,Pumpspeicherkraftwerk Erzhausen,90.0,fuzzy,,
Erzhausen 2,Pumpspeicherkraftwerk Erzhausen,90.0,fuzzy,,
Erzhausen 3,Pumpspeicherkraftwerk Erzhausen,90.0,fuzzy,,
Erzhausen 4,Pumpspeicherkraftwerk Erzhausen,90.0,fuzzy,,
Frankfurt West 2,West,100.0,fuzzy,,
Frankfurt West 3,West,100.0,fuzzy,,
Frankfurt West 4,West,100.0,fuzzy,,
GAMOR_ROEMER,Gasmotor Warme,69.2,fuzzy,,YES
GERSTEINW_DTF2 (KapRes),Gersteinwerk,60.6,fuzzy,,YES
GERSTEINW_DTG2 (KapRes),Gersteinwerk,60.6,fuzzy,,YES
GERSTEINW_F (KapRes),Gersteinwerk,66.7,fuzzy,,YES
GERSTEINW_G (KapRes),Gersteinwerk,66.7,fuzzy,,YES
GERSTEINW_GTF1 (KapRes),Ernst Krebs Kg,62.9,fuzzy,,YES
GERSTEINW_GTG1 (KapRes),Ernst Krebs Kg,62.9,fuzzy,,YES
GERSTEINW_GTI1,Gersteinwerk,69.2,fuzzy,,YES
GERSTEINW_K1 (KapRes),Pv Ks Gersten,68.8,fuzzy,,YES
GUD_HERNE_6,Herne,100.0,fuzzy,,
Gebersdorf 1,Ebersdorf,85.7,fuzzy,,
Gebersdorf 2,Ebersdorf,85.7,fuzzy,,
Gebersdorf GT,Gt,100.0,fuzzy,,
Goldisthal (Standort),Standort,100.0,fuzzy,,
Grosskraftwerk Mannheim Block 6,Grosskraftwerk Mannheim,100.0,fuzzy,,
Grosskraftwerk Mannheim Block 7,Grosskraftwerk Mannheim,100.0,fuzzy,,
Grosskraftwerk Mannheim Block 8,Grosskraftwerk Mannheim,100.0,fuzzy,,
Grosskraftwerk Mannheim Block 9,Grosskraftwerk Mannheim,100.0,fuzzy,,
HAMMUENTROP_10,Hamm Uentrop Maschine,62.9,fuzzy,,YES
HAMMUENTROP_20,Hamm Uentrop Maschine,62.9,fuzzy,,YES
HATTINGEN_AIRPRODUCTS(KapRes),Hattingen,100.0,fuzzy,,
HEIZKRAFTWERK_SAARBRÜCKEN,Holzheizkraftwerk Vossenack,69.2,fuzzy,,YES
HERDECKE_H6,Cuno Herdecke Bhkw,84.2,fuzzy,,
HKW Aalen,Aalen,100.0,fuzzy,,
HKW BARMEN 1,Barmen,100.0,fuzzy,,
HKW_ROEMER_KW,Bhkw Brome,69.6,fuzzy,,YES
HUCKINGEN_A,Huckingen,100.0,fuzzy,,
HUCKINGEN_B,Huckingen,100.0,fuzzy,,
Hannover (GKH) 1,Gkh,100.0,fuzzy,,
Hannover (GKH) 2,Gkh,100.0,fuzzy,,
Heizkraftwerk Altbach/Deizisau Block 2,Altbach Deizisau,100.0,fuzzy,,
Heizkraftwerk Altbach/Deizisau GT A,Altbach Deizisau,100.0,fuzzy,,
Heizkraftwerk Altbach/Deizisau GT B,Altbach Deizisau,100.0,fuzzy,,
Heizkraftwerk Altbach/Deizisau GT C,Altbach Deizisau,100.0,fuzzy,,
Heizkraftwerk Altbach/Deizisau GT E,Altbach Deizisau,100.0,fuzzy,,
Heizkraftwerk Gaisburg Block 3,Blockheizkraftwerk,75.0,fuzzy,,
Heizkraftwerk Heilbronn Block 7,Heilbronn,100.0,fuzzy,,
"Heizkraftwerk Stuttgart-Münster GT 16,17,18",Gt,100.0,fuzzy,,
Heizkraftwerk_Pforzheim,Pforzheim,100.0,fuzzy,,
Hohenwarte 2 (Standort),Standort,100.0,fuzzy,,
INFRA_HOE_GTX1,Infra Hoher Berg,73.3,fuzzy,,
INFRA_HOE_GTX3,Infra Hoher Berg,73.3,fuzzy,,
Irsching 4,Irsching,100.0,fuzzy,,
Irsching 5,Irsching,100.0,fuzzy,,
Irsching 6 (bnBm),Irsching,100.0,fuzzy,,
Itzehoe,Gasturbinenkraftwerk Itzehoe,100.0,fuzzy,,
Jänschwalde (Standort),Standort,100.0,fuzzy,,
KMW_KW3,Kmw,100.0,fuzzy,,
KMW_KW5,Kmw,100.0,fuzzy,,
