redispatch_name,matched_name,score,source,reasoning,needs_review
Walchensee 2,Drachensee,72.7,fuzzy,,
Walchensee 3,Drachensee,72.7,fuzzy,,
Walchensee 4,Drachensee,72.7,fuzzy,,
Waldeck 5,Waldeck,100.0,fuzzy,,
Waldeck 6,Waldeck,100.0,fuzzy,,
Wilhelmshaven (ENGIE),Wilhelmshaven,100.0,fuzzy,,
Würzburg GT 1,Gt,100.0,fuzzy,,
Würzburg GT 2,Gt,100.0,fuzzy,,
Zolling GT 1,Zolling,100.0,fuzzy,,
Zolling GT 2,Zolling,100.0,fuzzy,,
illwerke vkw AG,Ag,100.0,fuzzy,,
